Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,No focal subject,0.0,s1_Introduced,Not defined,POINT,0.000,0.000,NA,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0,0,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,No focal subject,0.0,agent_Introduced,Not defined,POINT,102.300,102.300,NA,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1023,1023,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Novel,88.298,Approach,Not defined,STATE,102.400,103.099,0.699,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1024,NA,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Novel,88.298,Investigation,Not defined,STATE,103.100,108.100,5.000,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1031,1081,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Subject,69.098,Investigation,Not defined,STATE,103.200,103.900,0.700,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1032,1039,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Subject,69.098,Investigation,Not defined,STATE,107.600,109.500,1.900,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1076,1095,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Novel,88.298,Investigation,Not defined,STATE,110.900,127.200,16.300,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1109,1272,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Subject,69.098,Investigation,Not defined,STATE,111.000,116.900,5.900,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1110,1169,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Subject,69.098,Investigation,Not defined,STATE,117.700,118.200,0.500,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1177,1182,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Subject,69.098,Investigation,Not defined,STATE,121.000,121.400,0.400,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1210,1214,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Subject,69.098,Investigation,Not defined,STATE,122.200,123.900,1.700,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1222,1239,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Novel,88.298,Approach,Not defined,STATE,139.900,140.399,0.499,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1399,NA,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Novel,88.298,Investigation,Not defined,STATE,140.400,185.100,44.700,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1404,1851,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Subject,69.098,Investigation,Not defined,STATE,140.400,141.400,1.000,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1404,1414,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Subject,69.098,Investigation,Not defined,STATE,141.900,180.400,38.500,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1420,1804,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Subject,69.098,Investigation,Not defined,STATE,184.100,184.900,0.800,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1841,1849,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Novel,88.298,Investigation,Not defined,STATE,186.400,191.400,5.000,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1864,1914,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Subject,69.098,Investigation,Not defined,STATE,186.500,186.800,0.300,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1865,1868,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Subject,69.098,Investigation,Not defined,STATE,192.000,192.400,0.400,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1920,1924,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Novel,88.298,Investigation,Not defined,STATE,192.100,195.700,3.600,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1921,1957,,,,
oxy_1-250226-103750,2025-03-20 21:45:27.727,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,0.0,232.900,255.400,10.000,Subject,69.098,Investigation,Not defined,STATE,193.000,195.900,2.900,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-103750/2_26_25_Oxytocin_Pilot-250226-103221_oxy_1-250226-103750_Cam1.avi,1930,1959,,,,
