Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
oxy_2-250226-111424,2025-03-20 23:23:22.587,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,0.0,244.800,257.500,10.000,No focal subject,0.0,s2_Introduced,Not defined,POINT,0.000,0.000,NA,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,0,0,,,,
oxy_2-250226-111424,2025-03-20 23:23:22.587,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,0.0,244.800,257.500,10.000,No focal subject,0.0,agent_Introduced,Not defined,POINT,101.200,101.200,NA,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,1012,1012,,,,
oxy_2-250226-111424,2025-03-20 23:23:22.587,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,0.0,244.800,257.500,10.000,Novel,61.9,Approach,Not defined,STATE,110.900,112.300,1.400,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,1109,1123,,,,
oxy_2-250226-111424,2025-03-20 23:23:22.587,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,0.0,244.800,257.500,10.000,Subject,81.298,Approach,Not defined,STATE,111.300,112.399,1.099,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,1113,NA,,,,
oxy_2-250226-111424,2025-03-20 23:23:22.587,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,0.0,244.800,257.500,10.000,Novel,61.9,Investigation,Not defined,STATE,112.300,114.700,2.400,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,1123,1147,,,,
oxy_2-250226-111424,2025-03-20 23:23:22.587,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,0.0,244.800,257.500,10.000,Subject,81.298,Investigation,Not defined,STATE,112.400,168.500,56.100,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,1124,1685,,,,
oxy_2-250226-111424,2025-03-20 23:23:22.587,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,0.0,244.800,257.500,10.000,Novel,61.9,Investigation,Not defined,STATE,115.000,120.600,5.600,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,1150,1206,,,,
oxy_2-250226-111424,2025-03-20 23:23:22.587,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,0.0,244.800,257.500,10.000,Novel,61.9,Investigation,Not defined,STATE,121.100,133.300,12.200,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,1211,1333,,,,
oxy_2-250226-111424,2025-03-20 23:23:22.587,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,0.0,244.800,257.500,10.000,Novel,61.9,Investigation,Not defined,STATE,136.300,138.000,1.700,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,1363,1380,,,,
oxy_2-250226-111424,2025-03-20 23:23:22.587,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,0.0,244.800,257.500,10.000,Novel,61.9,Investigation,Not defined,STATE,140.300,162.500,22.200,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_2-250226-111424/2_26_25_Oxytocin_Pilot-250226-103221_oxy_2-250226-111424_Cam1.avi,1403,1625,,,,
