Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Investigation,Not defined,STATE,158.000,160.200,2.200,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1580,1602,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Novel,84.386,Investigation,Not defined,STATE,158.800,160.000,1.200,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1588,1600,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Novel,84.386,Approach,Not defined,STATE,162.800,163.999,1.199,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1628,NA,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Investigation,Not defined,STATE,163.700,165.300,1.600,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1637,1653,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Novel,84.386,Investigation,Not defined,STATE,164.000,165.100,1.100,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1640,1651,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Investigation,Not defined,STATE,166.900,168.900,2.000,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1669,1689,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Novel,84.386,Investigation,Not defined,STATE,167.100,168.500,1.400,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1671,1685,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Investigation,Not defined,STATE,169.500,181.300,11.800,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1695,1813,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Novel,84.386,Approach,Not defined,STATE,182.400,183.099,0.699,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1824,NA,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Novel,84.386,Investigation,Not defined,STATE,183.100,185.000,1.900,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1831,1850,,,,
